id,total_votes,missed_votes,percent,percentile,first_vote_date,last_vote_date
400308,15267,206,1.34931551713,24.4943820225,1989-01-03,2013-01-01
412261,3684,49,1.33007600434,24.2696629213,2008-05-07,2013-01-01
400276,7572,100,1.3206550449,24.0449438202,2003-01-07,2013-01-01
412487,1606,21,1.30759651308,23.8202247191,2011-01-05,2013-01-01
400653,6351,83,1.30688080617,23.595505618,2005-01-04,2013-01-01
412189,5137,66,1.28479657388,23.3707865169,2007-01-04,2013-01-01
400361,8568,110,1.28384687208,23.1460674157,2001-01-03,2013-01-01
400061,8568,109,1.27217553688,22.9213483146,2001-01-03,2013-01-01
400415,7572,96,1.26782884311,22.6966292135,2003-01-07,2013-01-01
412303,3261,39,1.19595216191,22.4719101124,2009-01-06,2013-01-01
400371,10969,130,1.18515817303,22.2471910112,1997-01-07,2013-01-01
412417,1606,19,1.18306351183,21.797752809,2011-01-05,2013-01-01
412466,1606,19,1.18306351183,21.797752809,2011-01-05,2013-01-01
412271,3261,38,1.16528672186,21.5730337079,2009-01-06,2013-01-01
400184,9782,112,1.14496013085,21.3483146067,1999-01-06,2013-01-01
400403,9782,110,1.12451441423,21.1235955056,1999-01-06,2013-01-01
412393,1691,19,1.12359550562,20.8988764045,2010-11-18,2013-01-01
412401,1606,18,1.12079701121,20.6741573034,2011-01-05,2013-01-01
400116,15267,169,1.10696273007,20.4494382022,1989-01-03,2013-01-01
400646,2814,31,1.10163468372,20.2247191011,2005-01-04,2013-01-01
400318,20007,220,1.0996151347,20.0,1979-02-26,2013-01-01
400435,18809,202,1.07395395821,19.7752808989,1981-01-05,2013-01-01
412311,3261,35,1.07329040172,19.5505617978,2009-01-06,2013-01-01
400103,14363,153,1.06523706747,19.3258426966,1991-01-03,2013-01-01
412443,1606,17,1.05853051059,19.1011235955,2011-01-05,2013-01-01
412212,5137,54,1.05119719681,18.8764044944,2007-01-04,2013-01-01
412263,3525,37,1.04964539007,18.6516853933,2008-06-19,2013-01-01
412284,3261,34,1.04262496167,18.4269662921,2009-01-06,2013-01-01
400238,17999,185,1.02783487972,18.202247191,1983-01-03,2013-01-01
400017,13431,134,0.997691906783,17.9775280899,1993-01-05,2013-01-01
412449,1606,16,0.996264009963,16.8539325843,2011-01-05,2013-01-01
412407,1606,16,0.996264009963,16.8539325843,2011-01-05,2013-01-01
412427,1606,16,0.996264009963,16.8539325843,2011-01-05,2013-01-01
412441,1606,16,0.996264009963,16.8539325843,2011-01-05,2013-01-01
412462,1606,16,0.996264009963,16.8539325843,2011-01-05,2013-01-01
412193,5137,51,0.99279735254,16.6292134831,2007-01-04,2013-01-01
400404,12309,121,0.983020554066,16.404494382,1995-01-04,2013-01-01
412280,3261,32,0.98129408157,16.1797752809,2009-01-06,2013-01-01
412275,3261,31,0.950628641521,15.7303370787,2009-01-06,2013-01-01
412317,3261,31,0.950628641521,15.7303370787,2009-01-06,2013-01-01
400255,8568,81,0.945378151261,15.5056179775,2001-01-03,2013-01-01
400234,12309,112,0.909903322772,15.2808988764,1995-01-04,2013-01-01
412292,3261,29,0.889297761423,15.0561797753,2009-01-06,2013-01-01
412214,5137,45,0.875997664006,14.8314606742,2007-01-04,2013-01-01
412400,1606,14,0.871731008717,13.4831460674,2011-01-05,2013-01-01
412416,1606,14,0.871731008717,13.4831460674,2011-01-05,2013-01-01
412434,1606,14,0.871731008717,13.4831460674,2011-01-05,2013-01-01
412482,1606,14,0.871731008717,13.4831460674,2011-01-05,2013-01-01
412486,1606,14,0.871731008717,13.4831460674,2011-01-05,2013-01-01
